run_timestamp,run_date,wallet_label,coldkey,hotkey,hotkey_name,current_alpha,period_start_alpha,earned_alpha,notes
2026-05-26 21:24:13 UTC,2026-05-26,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8175.469098,8165.236990,10.232108,validators:Datura
2026-05-27 22:17:24 UTC,2026-05-27,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30075.865106,30045.182559,30.682547,validators:Ditto
2026-05-27 22:17:55 UTC,2026-05-27,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30137.073573,30099.442010,37.631564,validators:1T1B.AI
2026-05-27 22:18:26 UTC,2026-05-27,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30402.551959,30369.165419,33.386540,validators:TAO.com
2026-05-27 22:18:58 UTC,2026-05-27,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1580.987982,1579.251821,1.736161,validators:TAO.com
2026-05-27 22:19:29 UTC,2026-05-27,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9759.579700,9748.224584,11.355116,validators:Rizzo (Insured)
2026-05-27 22:20:00 UTC,2026-05-27,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6458.723020,6451.441035,7.281985,validators:Tensorplex Labs
2026-05-27 22:20:52 UTC,2026-05-27,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8187.211255,8176.639549,10.571706,validators:Datura
2026-05-28 22:16:57 UTC,2026-05-28,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30108.602453,30077.501842,31.100611,validators:Ditto
2026-05-28 22:17:30 UTC,2026-05-28,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30176.996716,30139.063990,37.932726,validators:1T1B.AI
